population;pup ID;recording date;syllable train type;syllable;;;;
;;;;label;duration [s];start time;end time;IOI [s]
Panama;2;15_07_09;affiliative;1;0,0067;0,0405;0,0473;0,0738
Panama;2;15_07_09;affiliative;2;0,0386;0,1143;0,1529;0,1306
Panama;2;15_07_09;affiliative;3;0,0129;0,2449;0,2579;0,0530
Panama;2;15_07_09;affiliative;4;0,0003;0,2979;0,2983;0,0026
Panama;2;15_07_09;affiliative;5;0,0168;0,3005;0,3174;0,0299
Panama;2;15_07_09;affiliative;6;0,0218;0,3304;0,3523;0,0969
Panama;2;15_07_09;affiliative;7;0,0090;0,4273;0,4364;0,0427
Panama;2;15_07_09;affiliative;8;0,0234;0,4700;0,4934;0,0350
Panama;2;15_07_09;affiliative;9;0,0231;0,5050;0,5282;0,1123
Panama;2;15_07_09;affiliative;10;0,0129;0,6173;0,6302;0,0319
Panama;2;15_07_09;affiliative;11;0,0023;0,6492;0,6515;0,0055
Panama;2;15_07_09;affiliative;12;0,0545;0,6547;0,7092;0,1409
Panama;2;15_07_09;affiliative;13;0,0143;0,7956;0,8099;0,0291
Panama;2;15_07_09;affiliative;14;0,0614;0,8247;0,8861;0,1297
Panama;2;15_07_09;affiliative;15;0,0053;0,9544;0,9598;0,0191
Panama;2;15_07_09;affiliative;16;0,0727;0,9735;1,0462;0,1302
Panama;2;15_07_09;affiliative;17;0,0028;1,1037;1,1065;0,0099
Panama;2;15_07_09;affiliative;18;0,0062;1,1136;1,1198;0,0110
Panama;2;15_07_09;affiliative;19;0,0044;1,1246;1,1290;0,0195
Panama;2;15_07_09;affiliative;20;0,0037;1,1441;1,1479;0,0067
Panama;2;15_07_09;affiliative;21;0,0069;1,1508;1,1577;0,0099
Panama;2;15_07_09;affiliative;22;0,0057;1,1607;1,1664;0,0097
Panama;2;15_07_09;affiliative;22;0,0384;1,1704;1,2088;0,2152
Panama;2;15_07_09;affiliative;23;0,0696;1,3856;1,4552;
Panama;8;15_07_09;affiliative;1;0,0025;0,1331;0,1356;0,1061
Panama;8;15_07_09;affiliative;2;0,0087;0,2392;0,2479;0,1165
Panama;8;15_07_09;affiliative;3;0,0097;0,3557;0,3654;0,1080
Panama;8;15_07_09;affiliative;4;0,0096;0,4637;0,4733;0,1080
Panama;8;15_07_09;affiliative;5;0,0089;0,5717;0,5807;0,1084
Panama;8;15_07_09;affiliative;6;0,0106;0,6801;0,6908;0,0589
Panama;8;15_07_09;affiliative;7;0,0240;0,7390;0,7631;0,0393
Panama;8;15_07_09;affiliative;8;0,0085;0,7783;0,7869;0,0556
Panama;8;15_07_09;affiliative;9;0,0327;0,8339;0,8666;0,0459
Panama;8;15_07_09;affiliative;10;0,0128;0,8798;0,8926;0,0560
Panama;8;15_07_09;affiliative;11;0,0369;0,9358;0,9728;0,0500
Panama;8;15_07_09;affiliative;12;0,0157;0,9858;1,0016;0,0539
Panama;8;15_07_09;affiliative;13;0,0419;1,0397;1,0817;0,0520
Panama;8;15_07_09;affiliative;14;0,0102;1,0917;1,1019;0,0514
Panama;8;15_07_09;affiliative;15;0,0400;1,1431;1,1832;0,0508
Panama;8;15_07_09;affiliative;16;0,0168;1,1939;1,2108;0,0539
Panama;8;15_07_09;affiliative;17;0,0517;1,2478;1,2995;0,0583
Panama;8;15_07_09;affiliative;18;0,0106;1,3061;1,3167;0,0558
Panama;8;15_07_09;affiliative;19;0,0569;1,3619;1,4188;0,0614
Panama;8;15_07_09;affiliative;20;0,0097;1,4233;1,4330;0,0583
Panama;8;15_07_09;affiliative;21;0,0579;1,4816;1,5395;0,1230
Panama;8;15_07_09;affiliative;22;0,0491;1,6046;1,6537;0,1766
Panama;8;15_07_09;affiliative;23;0,0151;1,7812;1,7963;0,0851
Panama;8;15_07_09;affiliative;24;0,0072;1,8663;1,8736;0,0520
Panama;8;15_07_09;affiliative;25;0,0174;1,9183;1,9357;0,1746
Panama;8;15_07_09;affiliative;26;0,0130;2,0929;2,1059;0,0676
Panama;8;15_07_09;affiliative;27;0,0560;2,1605;2,2165;0,1219
Panama;8;15_07_09;affiliative;28;0,0538;2,2824;2,3363;0,1160
Panama;8;15_07_09;affiliative;29;0,0390;2,3984;2,4375;0,0981
Panama;8;15_07_09;affiliative;30;0,0419;2,4965;2,5384;0,1040
Panama;8;15_07_09;affiliative;31;0,0436;2,6005;2,6442;0,1003
Panama;8;15_07_09;affiliative;32;0,0500;2,7008;2,7508;0,1015
Panama;8;15_07_09;affiliative;33;0,0519;2,8023;2,8542;0,1240
Panama;8;15_07_09;affiliative;34;0,0272;2,9263;2,9536;0,0861
Panama;8;15_07_09;affiliative;35;0,0618;3,0124;3,0743;0,1292
Panama;8;15_07_09;affiliative;36;0,0120;3,1416;3,1536;0,0342
Panama;8;15_07_09;affiliative;37;0,0399;3,1758;3,2157;0,1047
Panama;8;15_07_09;affiliative;38;0,0097;3,2805;3,2902;0,0357
Panama;8;15_07_09;affiliative;39;0,0330;3,3162;3,3492;0,0865
Panama;8;15_07_09;affiliative;40;0,0542;3,4027;3,4570;0,0703
Panama;8;15_07_09;affiliative;41;0,0074;3,4730;3,4804;0,0562
Panama;8;15_07_09;affiliative;42;0,0231;3,5292;3,5523;0,0556
Panama;8;15_07_09;affiliative;43;0,0144;3,5848;3,5993;0,0579
Panama;8;15_07_09;affiliative;44;0,0290;3,6427;3,6718;0,0629
Panama;8;15_07_09;affiliative;45;0,0103;3,7056;3,7159;0,0727
Panama;8;15_07_09;affiliative;46;0,0185;3,7783;3,7968;0,0499
Panama;8;15_07_09;affiliative;47;0,0128;3,8282;3,8410;0,1246
Panama;8;15_07_09;affiliative;48;0,0098;3,9528;3,9627;
Panama;10;15_07_08;affiliative;1;0,0088;0,0669;0,0757;0,0139
Panama;10;15_07_08;affiliative;2;0,0147;0,0808;0,0956;0,0698
Panama;10;15_07_08;affiliative;3;0,0467;0,1506;0,1973;0,0841
Panama;10;15_07_08;affiliative;4;0,0579;0,2347;0,2927;0,1055
Panama;10;15_07_08;affiliative;5;0,0584;0,3402;0,3987;0,1102
Panama;10;15_07_08;affiliative;6;0,0028;0,4504;0,4532;0,0173
Panama;10;15_07_08;affiliative;7;0,0020;0,4677;0,4697;0,0056
Panama;10;15_07_08;affiliative;8;0,0034;0,4733;0,4768;0,0106
Panama;10;15_07_08;affiliative;9;0,0296;0,4839;0,5136;
Costa Rica;15;16_06_26;affiliative;1;0,0360;0,0554;0,0915;0,1075
Costa Rica;15;16_06_26;affiliative;2;0,0350;0,1629;0,1980;0,1071
Costa Rica;15;16_06_26;affiliative;3;0,0360;0,2700;0,3061;0,1033
Costa Rica;15;16_06_26;affiliative;4;0,0273;0,3733;0,4007;0,0946
Costa Rica;15;16_06_26;affiliative;5;0,0277;0,4679;0,4957;0,0892
Costa Rica;15;16_06_26;affiliative;6;0,0243;0,5571;0,5815;0,0936
Costa Rica;15;16_06_26;affiliative;7;0,0064;0,6507;0,6571;0,0467
Costa Rica;15;16_06_26;affiliative;8;0,0115;0,6974;0,7089;0,0254
Costa Rica;15;16_06_26;affiliative;9;0,0057;0,7228;0,7285;0,0144
Costa Rica;15;16_06_26;affiliative;10;0,0034;0,7372;0,7407;0,0117
Costa Rica;15;16_06_26;affiliative;11;0,0030;0,7489;0,7520;0,0101
Costa Rica;15;16_06_26;affiliative;12;0,0032;0,7590;0,7622;0,0102
Costa Rica;15;16_06_26;affiliative;13;0,0020;0,7692;0,7713;0,0089
Costa Rica;15;16_06_26;affiliative;14;0,0026;0,7781;0,7808;0,0099
Costa Rica;15;16_06_26;affiliative;15;0,0021;0,7880;0,7902;
Costa Rica;16;16_06_19;affiliative;1;0,0574;0,0934;0,1509;0,1162
Costa Rica;16;16_06_19;affiliative;2;0,0501;0,2096;0,2598;0,1022
Costa Rica;16;16_06_19;affiliative;3;0,0544;0,3118;0,3662;0,1117
Costa Rica;16;16_06_19;affiliative;4;0,0600;0,4235;0,4835;0,1094
Costa Rica;16;16_06_19;affiliative;5;0,0640;0,5329;0,5969;0,1058
Costa Rica;16;16_06_19;affiliative;6;0,0147;0,6387;0,6534;0,0316
Costa Rica;16;16_06_19;affiliative;8;0,0290;0,6703;0,6993;0,0735
Costa Rica;16;16_06_19;affiliative;9;0,0171;0,7438;0,7609;0,0277
Costa Rica;16;16_06_19;affiliative;10;0,0417;0,7715;0,8133;0,0863
Costa Rica;16;16_06_19;affiliative;11;0,0280;0,8578;0,8858;0,0510
Costa Rica;16;16_06_19;affiliative;12;0,0143;0,9088;0,9231;0,0828
Costa Rica;16;16_06_19;affiliative;13;0,0288;0,9916;1,0204;0,0428
Costa Rica;16;16_06_19;affiliative;14;0,0234;1,0344;1,0579;0,0367
Costa Rica;16;16_06_19;affiliative;15;0,0074;1,0711;1,0785;0,0117
Costa Rica;16;16_06_19;affiliative;16;0,0048;1,0828;1,0877;0,0168
Costa Rica;16;16_06_19;affiliative;17;0,0017;1,0996;1,1014;0,0134
Costa Rica;16;16_06_19;affiliative;18;0,0033;1,1130;1,1164;0,2627
Costa Rica;16;16_06_19;affiliative;19;0,0586;1,3757;1,4343;
Costa Rica;19;16_07_07;affiliative;1;0,0327;0,0334;0,0661;0,1488
Costa Rica;19;16_07_07;affiliative;2;0,0067;0,1822;0,1890;0,0306
Costa Rica;19;16_07_07;affiliative;3;0,0258;0,2128;0,2387;0,1353
Costa Rica;19;16_07_07;affiliative;4;0,0194;0,3481;0,3676;0,0265
Costa Rica;19;16_07_07;affiliative;5;0,0399;0,3746;0,4145;0,1435
Costa Rica;19;16_07_07;affiliative;6;0,0559;0,5181;0,5740;0,1494
Costa Rica;19;16_07_07;affiliative;7;0,0103;0,6675;0,6778;0,1060
Costa Rica;19;16_07_07;affiliative;8;0,0113;0,7735;0,7848;0,0981
Costa Rica;19;16_07_07;affiliative;9;0,0112;0,8716;0,8829;0,0868
Costa Rica;19;16_07_07;affiliative;10;0,0104;0,9584;0,9689;0,0798
Costa Rica;19;16_07_07;affiliative;11;0,0104;1,0382;1,0487;0,0756
Costa Rica;19;16_07_07;affiliative;12;0,0154;1,1138;1,1293;0,0740
Costa Rica;19;16_07_07;affiliative;13;0,0167;1,1878;1,2046;0,0719
Costa Rica;19;16_07_07;affiliative;14;0,0263;1,2597;1,2861;0,0734
Costa Rica;19;16_07_07;affiliative;15;0,0209;1,3331;1,3541;0,0422
Costa Rica;19;16_07_07;affiliative;16;0,0064;1,3753;1,3817;0,0597
Costa Rica;19;16_07_07;affiliative;17;0,0318;1,4350;1,4668;0,0417
Costa Rica;19;16_07_07;affiliative;18;0,0060;1,4767;1,4827;0,0626
Costa Rica;19;16_07_07;affiliative;19;0,0399;1,5393;1,5792;0,0517
Costa Rica;19;16_07_07;affiliative;20;0,0065;1,5910;1,5975;0,0732
Costa Rica;19;16_07_07;affiliative;21;0,0590;1,6642;1,7232;0,0749
Costa Rica;19;16_07_07;affiliative;22;0,0058;1,7391;1,7450;0,0733
Costa Rica;19;16_07_07;affiliative;23;0,0709;1,8124;1,8833;0,0839
Costa Rica;19;16_07_07;affiliative;24;0,0051;1,8963;1,9014;0,0201
Costa Rica;19;16_07_07;affiliative;25;0,0037;1,9164;1,9201;
Panama;2;15_06_30;aggressive;1;0,0215;0,0215;0,0430;0,0842
Panama;2;15_06_30;aggressive;2;0,0218;0,1057;0,1276;0,0895
Panama;2;15_06_30;aggressive;3;0,0247;0,1952;0,2199;0,0903
Panama;2;15_06_30;aggressive;4;0,0209;0,2855;0,3065;0,0795
Panama;2;15_06_30;aggressive;5;0,0303;0,3650;0,3953;0,1089
Panama;2;15_06_30;aggressive;6;0,0369;0,4739;0,5109;0,0845
Panama;2;15_06_30;aggressive;7;0,0775;0,5584;0,6360;0,1310
Panama;2;15_06_30;aggressive;8;0,1024;0,6894;0,7918;0,1641
Panama;2;15_06_30;aggressive;9;0,1433;0,8535;0,9968;0,2210
Panama;2;15_06_30;aggressive;10;0,1428;1,0745;1,2174;0,2319
Panama;2;15_06_30;aggressive;11;0,0852;1,3064;1,3917;
Panama;3;15_06_23;aggressive;1;0,0152;0,0527;0,0679;0,0968
Panama;3;15_06_23;aggressive;2;0,0230;0,1495;0,1725;0,1021
Panama;3;15_06_23;aggressive;3;0,0249;0,2516;0,2766;0,1010
Panama;3;15_06_23;aggressive;4;0,0253;0,3526;0,3779;0,1035
Panama;3;15_06_23;aggressive;5;0,0271;0,4561;0,4833;0,1027
Panama;3;15_06_23;aggressive;6;0,0302;0,5588;0,5890;0,1055
Panama;3;15_06_23;aggressive;7;0,0263;0,6643;0,6906;0,1090
Panama;3;15_06_23;aggressive;8;0,0298;0,7733;0,8032;0,1123
Panama;3;15_06_23;aggressive;9;0,0279;0,8856;0,9135;0,1098
Panama;3;15_06_23;aggressive;10;0,0320;0,9954;1,0274;0,1187
Panama;3;15_06_23;aggressive;11;0,0299;1,1141;1,1440;0,1262
Panama;3;15_06_23;aggressive;12;0,0348;1,2403;1,2751;0,1431
Panama;3;15_06_23;aggressive;13;0,0444;1,3834;1,4278;0,1636
Panama;3;15_06_23;aggressive;14;0,0495;1,5470;1,5965;0,1909
Panama;3;15_06_23;aggressive;15;0,0549;1,7379;1,7928;0,2146
Panama;3;15_06_23;aggressive;16;0,0618;1,9525;2,0143;0,2190
Panama;3;15_06_23;aggressive;17;0,0588;2,1715;2,2304;0,2624
Panama;3;15_06_23;aggressive;18;0,0494;2,4339;2,4833;0,2212
Panama;3;15_06_23;aggressive;19;0,0418;2,6551;2,6969;0,1436
Panama;3;15_06_23;aggressive;20;0,0556;2,7987;2,8544;0,1696
Panama;3;15_06_23;aggressive;21;0,0633;2,9683;3,0316;0,1638
Panama;3;15_06_23;aggressive;22;0,0732;3,1321;3,2053;
Panama;8;15_06_30;aggressive;1;0,0131;0,1696;0,1827;0,0459
Panama;8;15_06_30;aggressive;2;0,0102;0,2155;0,2257;0,1117
Panama;8;15_06_30;aggressive;3;0,0108;0,3272;0,3381;0,0799
Panama;8;15_06_30;aggressive;4;0,0302;0,4071;0,4373;0,0769
Panama;8;15_06_30;aggressive;5;0,0309;0,4840;0,5150;0,0934
Panama;8;15_06_30;aggressive;6;0,0176;0,5774;0,5950;0,0695
Panama;8;15_06_30;aggressive;7;0,0139;0,6469;0,6608;0,0710
Panama;8;15_06_30;aggressive;8;0,0161;0,7179;0,7340;0,0652
Panama;8;15_06_30;aggressive;9;0,0172;0,7831;0,8003;0,0661
Panama;8;15_06_30;aggressive;10;0,0160;0,8492;0,8652;0,0638
Panama;8;15_06_30;aggressive;11;0,0190;0,9130;0,9320;0,0710
Panama;8;15_06_30;aggressive;12;0,0188;0,9840;1,0028;0,0725
Panama;8;15_06_30;aggressive;13;0,0194;1,0565;1,0759;0,0739
Panama;8;15_06_30;aggressive;14;0,0215;1,1304;1,1520;0,0777
Panama;8;15_06_30;aggressive;15;0,0216;1,2081;1,2298;0,0763
Panama;8;15_06_30;aggressive;16;0,0224;1,2844;1,3068;0,0803
Panama;8;15_06_30;aggressive;17;0,0247;1,3647;1,3894;0,0840
Panama;8;15_06_30;aggressive;18;0,0224;1,4487;1,4711;0,0751
Panama;8;15_06_30;aggressive;19;0,0275;1,5238;1,5513;0,0843
Panama;8;15_06_30;aggressive;20;0,0366;1,6081;1,6448;0,0963
Panama;8;15_06_30;aggressive;21;0,0376;1,7044;1,7420;0,0945
Panama;8;15_06_30;aggressive;22;0,0433;1,7989;1,8423;0,0839
Panama;8;15_06_30;aggressive;23;0,0518;1,8828;1,9347;0,0954
Panama;8;15_06_30;aggressive;24;0,0247;1,9782;2,0029;0,1018
Panama;8;15_06_30;aggressive;25;0,0247;2,0800;2,1047;
Costa Rica;11;16_07_06;aggressive;1;0,0133;0,0789;0,0922;0,0406
Costa Rica;11;16_07_06;aggressive;2;0,0078;0,1195;0,1273;0,0730
Costa Rica;11;16_07_06;aggressive;3;0,0102;0,1925;0,2027;0,0421
Costa Rica;11;16_07_06;aggressive;4;0,0074;0,2346;0,2420;0,0569
Costa Rica;11;16_07_06;aggressive;5;0,0267;0,2915;0,3183;0,0364
Costa Rica;11;16_07_06;aggressive;6;0,0070;0,3279;0,3349;0,0617
Costa Rica;11;16_07_06;aggressive;7;0,0138;0,3896;0,4034;0,0283
Costa Rica;11;16_07_06;aggressive;8;0,0037;0,4179;0,4216;0,0121
Costa Rica;11;16_07_06;aggressive;9;0,0065;0,4300;0,4366;0,0574
Costa Rica;11;16_07_06;aggressive;10;0,0133;0,4874;0,5007;0,0270
Costa Rica;11;16_07_06;aggressive;11;0,0062;0,5144;0,5207;0,0142
Costa Rica;11;16_07_06;aggressive;12;0,0071;0,5286;0,5358;0,0529
Costa Rica;11;16_07_06;aggressive;13;0,0345;0,5815;0,6160;0,0428
Costa Rica;11;16_07_06;aggressive;14;0,0072;0,6243;0,6316;0,0589
Costa Rica;11;16_07_06;aggressive;15;0,0416;0,6832;0,7248;0,0462
Costa Rica;11;16_07_06;aggressive;16;0,0075;0,7294;0,7370;0,0566
Costa Rica;11;16_07_06;aggressive;17;0,0582;0,7860;0,8442;0,1114
Costa Rica;11;16_07_06;aggressive;18;0,0704;0,8974;0,9678;0,1273
Costa Rica;11;16_07_06;aggressive;19;0,0145;1,0247;1,0393;0,0791
Costa Rica;11;16_07_06;aggressive;20;0,0424;1,1038;1,1463;0,0954
Costa Rica;11;16_07_06;aggressive;21;0,0432;1,1992;1,2424;0,0659
Costa Rica;11;16_07_06;aggressive;22;0,0520;1,2651;1,3172;0,1016
Costa Rica;11;16_07_06;aggressive;23;0,1095;1,3667;1,4763;0,1539
Costa Rica;11;16_07_06;aggressive;24;0,1043;1,5206;1,6249;0,2335
Costa Rica;11;16_07_06;aggressive;25;0,1048;1,7541;1,8589;0,1670
Costa Rica;11;16_07_06;aggressive;26;0,0357;1,9211;1,9568;0,0484
