population;pup ID;recording date;syllable train type;syllable;;;;
Panama;5;15_07_20;neutral;18;0,0120;1,3300;1,3420;0,0806
Panama;5;15_07_20;neutral;19;0,0215;1,4106;1,4321;0,0890
Panama;5;15_07_20;neutral;20;0,0217;1,4996;1,5214;0,0867
Panama;5;15_07_20;neutral;21;0,0221;1,5863;1,6084;0,0871
Panama;5;15_07_20;neutral;22;0,0207;1,6734;1,6942;0,0887
Panama;5;15_07_20;neutral;23;0,0207;1,7621;1,7829;0,0926
Panama;5;15_07_20;neutral;24;0,0189;1,8547;1,8736;0,1250
Panama;5;15_07_20;neutral;25;0,0149;1,9797;1,9947;0,0572
Panama;5;15_07_20;neutral;26;0,0080;2,0369;2,0450;0,0832
Panama;5;15_07_20;neutral;27;0,0247;2,1201;2,1448;0,0488
Panama;5;15_07_20;neutral;28;0,0079;2,1689;2,1768;0,0767
Panama;5;15_07_20;neutral;29;0,0256;2,2456;2,2712;0,0503
Panama;5;15_07_20;neutral;30;0,0081;2,2959;2,3041;
Panama;6;15_07_05;neutral;1;0,0090;0,0353;0,0444;0,0939
Panama;6;15_07_05;neutral;2;0,0098;0,1292;0,1391;0,0776
Panama;6;15_07_05;neutral;3;0,0113;0,2068;0,2182;0,0694
Panama;6;15_07_05;neutral;4;0,0126;0,2762;0,2888;0,0669
Panama;6;15_07_05;neutral;5;0,0125;0,3431;0,3557;0,0647
Panama;6;15_07_05;neutral;6;0,0133;0,4078;0,4211;0,0661
Panama;6;15_07_05;neutral;7;0,0120;0,4739;0,4860;0,0667
Panama;6;15_07_05;neutral;8;0,0113;0,5406;0,5520;0,0636
Panama;6;15_07_05;neutral;9;0,0117;0,6042;0,6160;0,0597
Panama;6;15_07_05;neutral;10;0,0078;0,6639;0,6717;0,0287
Panama;6;15_07_05;neutral;11;0,0052;0,6926;0,6978;0,0483
Panama;6;15_07_05;neutral;12;0,0090;0,7409;0,7500;0,0336
Panama;6;15_07_05;neutral;13;0,0058;0,7745;0,7804;0,0646
Panama;6;15_07_05;neutral;14;0,0111;0,8391;0,8503;0,0734
Panama;6;15_07_05;neutral;15;0,0097;0,9125;0,9222;0,0784
Panama;6;15_07_05;neutral;16;0,0099;0,9909;1,0009;0,0805
Panama;6;15_07_05;neutral;17;0,0094;1,0714;1,0809;
Costa Rica;13;16_07_04;neutral;1;0,0098;0,0540;0,0638;0,0919
Costa Rica;13;16_07_04;neutral;2;0,0108;0,1459;0,1568;0,0797
Costa Rica;13;16_07_04;neutral;3;0,0116;0,2256;0,2373;0,0798
Costa Rica;13;16_07_04;neutral;4;0,0136;0,3054;0,3191;0,0811
Costa Rica;13;16_07_04;neutral;5;0,0126;0,3865;0,3992;0,0759
Costa Rica;13;16_07_04;neutral;6;0,0124;0,4624;0,4748;0,0801
Costa Rica;13;16_07_04;neutral;7;0,0116;0,5425;0,5542;0,0726
Costa Rica;13;16_07_04;neutral;8;0,0170;0,6151;0,6321;0,0776
Costa Rica;13;16_07_04;neutral;9;0,0166;0,6927;0,7093;0,0845
Costa Rica;13;16_07_04;neutral;10;0,0136;0,7772;0,7909;0,0885
Costa Rica;13;16_07_04;neutral;11;0,0176;0,8657;0,8834;0,0895
Costa Rica;13;16_07_04;neutral;12;0,0224;0,9552;0,9776;0,0919
Costa Rica;13;16_07_04;neutral;13;0,0218;1,0471;1,0690;0,1010
Costa Rica;13;16_07_04;neutral;14;0,0119;1,1481;1,1600;0,0883
Costa Rica;13;16_07_04;neutral;15;0,0112;1,2364;1,2477;0,0841
Costa Rica;13;16_07_04;neutral;16;0,0115;1,3205;1,3320;0,0827
Costa Rica;13;16_07_04;neutral;17;0,0120;1,4032;1,4152;0,0835
Costa Rica;13;16_07_04;neutral;18;0,0108;1,4867;1,4976;0,0805
Costa Rica;13;16_07_04;neutral;19;0,0108;1,5672;1,5781;0,0754
Costa Rica;13;16_07_04;neutral;20;0,0090;1,6426;1,6517;0,0728
Costa Rica;13;16_07_04;neutral;21;0,0096;1,7154;1,7250;0,0645
Costa Rica;13;16_07_04;neutral;22;0,0102;1,7799;1,7902;0,0616
Costa Rica;13;16_07_04;neutral;23;0,0112;1,8415;1,8528;0,0384
Costa Rica;13;16_07_04;neutral;24;0,0062;1,8799;1,8862;0,0530
Costa Rica;13;16_07_04;neutral;25;0,0112;1,9329;1,9441;0,0299
Costa Rica;13;16_07_04;neutral;26;0,0052;1,9628;1,9681;0,0164
Costa Rica;13;16_07_04;neutral;27;0,0030;1,9792;1,9823;0,0124
Costa Rica;13;16_07_04;neutral;28;0,0030;1,9916;1,9947;0,0118
Costa Rica;13;16_07_04;neutral;29;0,0020;2,0034;2,0055;
Costa Rica;15;16_06_26;neutral;1;0,0101;0,0546;0,0647;0,0933
Costa Rica;15;16_06_26;neutral;2;0,0107;0,1479;0,1587;0,1305
Costa Rica;15;16_06_26;neutral;3;0,0046;0,2784;0,2830;0,1102
Costa Rica;15;16_06_26;neutral;4;0,0113;0,3886;0,4000;0,0882
Costa Rica;15;16_06_26;neutral;5;0,0163;0,4768;0,4931;0,1021
Costa Rica;15;16_06_26;neutral;6;0,0180;0,5789;0,5969;0,1098
Costa Rica;15;16_06_26;neutral;7;0,0085;0,6887;0,6973;0,0958
Costa Rica;15;16_06_26;neutral;8;0,0093;0,7845;0,7938;0,0949
Costa Rica;15;16_06_26;neutral;9;0,0080;0,8794;0,8875;0,0889
Costa Rica;15;16_06_26;neutral;10;0,0087;0,9683;0,9770;0,0892
Costa Rica;15;16_06_26;neutral;11;0,0097;1,0575;1,0672;0,0875
Costa Rica;15;16_06_26;neutral;12;0,0080;1,1450;1,1531;0,0825
Costa Rica;15;16_06_26;neutral;13;0,0084;1,2275;1,2359;0,0676
Costa Rica;15;16_06_26;neutral;14;0,0225;1,2951;1,3176;0,0743
Costa Rica;15;16_06_26;neutral;15;0,0229;1,3694;1,3923;0,0744
Costa Rica;15;16_06_26;neutral;16;0,0211;1,4438;1,4649;0,0782
Costa Rica;15;16_06_26;neutral;17;0,0174;1,5220;1,5394;0,0700
Costa Rica;15;16_06_26;neutral;18;0,0163;1,5920;1,6084;0,0689
Costa Rica;15;16_06_26;neutral;19;0,0218;1,6609;1,6828;0,0683
Costa Rica;15;16_06_26;neutral;20;0,0204;1,7292;1,7497;0,0450
Costa Rica;15;16_06_26;neutral;21;0,0056;1,7742;1,7798;0,0618
Costa Rica;15;16_06_26;neutral;22;0,0305;1,8360;1,8666;0,0486
Costa Rica;15;16_06_26;neutral;23;0,0049;1,8846;1,8896;0,0241
Costa Rica;15;16_06_26;neutral;24;0,0035;1,9087;1,9123;0,0185
Costa Rica;15;16_06_26;neutral;25;0,0023;1,9272;1,9296;0,0173
Costa Rica;15;16_06_26;neutral;26;0,0028;1,9445;1,9473;
Costa Rica;19;16_06_23;neutral;1;0,0295;0,0792;0,1088;0,1211
Costa Rica;19;16_06_23;neutral;2;0,0280;0,2003;0,2283;0,2291
Costa Rica;19;16_06_23;neutral;3;0,0160;0,4294;0,4454;0,1139
Costa Rica;19;16_06_23;neutral;4;0,0147;0,5433;0,5580;0,1070
Costa Rica;19;16_06_23;neutral;5;0,0180;0,6503;0,6684;0,1031
Costa Rica;19;16_06_23;neutral;6;0,0130;0,7534;0,7664;0,0195
Costa Rica;19;16_06_23;neutral;7;0,0154;0,7729;0,7884;0,1037
Costa Rica;19;16_06_23;neutral;8;0,0171;0,8766;0,8938;0,0808
Costa Rica;19;16_06_23;neutral;9;0,0285;0,9574;0,9859;0,0934
Costa Rica;19;16_06_23;neutral;10;0,0245;1,0508;1,0754;0,0918
Costa Rica;19;16_06_23;neutral;11;0,0211;1,1426;1,1637;0,0804
Costa Rica;19;16_06_23;neutral;12;0,0198;1,2230;1,2428;0,0774
Costa Rica;19;16_06_23;neutral;13;0,0143;1,3004;1,3148;0,0699
Costa Rica;19;16_06_23;neutral;14;0,0227;1,3703;1,3931;0,0352
Costa Rica;19;16_06_23;neutral;15;0,0044;1,4055;1,4100;0,0195
Costa Rica;19;16_06_23;neutral;16;0,0037;1,4250;1,4287;
Panama;3;15_06_23;UPS;1;0,0327;0,0483;0,0811;0,1220
Panama;3;15_06_23;UPS;2;0,0423;0,1703;0,2127;0,1170
Panama;3;15_06_23;UPS;3;0,0390;0,2873;0,3264;0,1292
Panama;3;15_06_23;UPS;4;0,0332;0,4165;0,4497;0,1376
Panama;3;15_06_23;UPS;5;0,0175;0,5541;0,5716;0,1154
Panama;3;15_06_23;UPS;6;0,0275;0,6695;0,6970;0,1330
Panama;3;15_06_23;UPS;7;0,0167;0,8025;0,8193;0,1224
Panama;3;15_06_23;UPS;8;0,0193;0,9249;0,9442;0,1029
Panama;3;15_06_23;UPS;9;0,0346;1,0278;1,0625;0,2793
Panama;3;15_06_23;UPS;10;0,0175;1,3071;1,3246;0,2579
Panama;3;15_06_23;UPS;11;0,0235;1,5650;1,5886;0,1316
Panama;3;15_06_23;UPS;12;0,0195;1,6966;1,7162;0,1364
Panama;3;15_06_23;UPS;13;0,0135;1,8330;1,8466;0,1437
Panama;3;15_06_23;UPS;14;0,0129;1,9767;1,9896;0,1460
Panama;3;15_06_23;UPS;15;0,0163;2,1227;2,1391;0,1578
Panama;3;15_06_23;UPS;16;0,0120;2,2805;2,2926;0,1538
Panama;3;15_06_23;UPS;17;0,0106;2,4343;2,4449;0,0945
Panama;3;15_06_23;UPS;18;0,0339;2,5288;2,5628;0,1223
Panama;3;15_06_23;UPS;19;0,0381;2,6511;2,6892;
Panama;3;15_06_23;UPS;1;0,0364;0,0465;0,0830;0,2000
Panama;3;15_06_23;UPS;2;0,0294;0,2465;0,2759;0,1121
Panama;3;15_06_23;UPS;3;0,0395;0,3586;0,3982;0,1009
Panama;3;15_06_23;UPS;4;0,0380;0,4595;0,4975;0,1072
Panama;3;15_06_23;UPS;5;0,0505;0,5667;0,6173;0,1242
Panama;3;15_06_23;UPS;6;0,0459;0,6909;0,7368;0,1181
Panama;3;15_06_23;UPS;7;0,0334;0,8090;0,8424;0,1037
Panama;3;15_06_23;UPS;8;0,0337;0,9127;0,9465;
Panama;9;15_07_05;UPS;1;0,0340;0,3448;0,3788;0,1000
Panama;9;15_07_05;UPS;2;0,0472;0,4448;0,4920;0,1204
Panama;9;15_07_05;UPS;3;0,0419;0,5652;0,6072;0,1125
Panama;9;15_07_05;UPS;4;0,0531;0,6777;0,7308;0,1249
Panama;9;15_07_05;UPS;5;0,0524;0,8026;0,8551;0,1329
Panama;9;15_07_05;UPS;6;0,0380;0,9355;0,9735;0,1373
Panama;9;15_07_05;UPS;7;0,0610;1,0728;1,1339;0,1516
Panama;9;15_07_05;UPS;8;0,0348;1,2244;1,2592;0,1382
Panama;9;15_07_05;UPS;9;0,0604;1,3626;1,4231;0,1461
Panama;9;15_07_05;UPS;10;0,0446;1,5087;1,5534;0,1389
Panama;9;15_07_05;UPS;11;0,0419;1,6476;1,6896;0,1355
Panama;9;15_07_05;UPS;12;0,0426;1,7831;1,8257;0,1316
Panama;9;15_07_05;UPS;13;0,0380;1,9147;1,9527;
Costa Rica;14;16_06_26;UPS;1;0,0067;0,0808;0,0876;0,0749
Costa Rica;14;16_06_26;UPS;2;0,0335;0,1557;0,1893;0,0497
Costa Rica;14;16_06_26;UPS;3;0,0060;0,2054;0,2114;0,1070
Costa Rica;14;16_06_26;UPS;4;0,0058;0,3124;0,3183;0,0214
Costa Rica;14;16_06_26;UPS;5;0,0060;0,3338;0,3398;0,0932
Costa Rica;14;16_06_26;UPS;6;0,0158;0,4270;0,4428;0,0313
Costa Rica;14;16_06_26;UPS;7;0,0074;0,4583;0,4657;0,0818
Costa Rica;14;16_06_26;UPS;8;0,0296;0,5401;0,5698;0,0428
Costa Rica;14;16_06_26;UPS;9;0,0060;0,5829;0,5889;0,0764
Costa Rica;14;16_06_26;UPS;10;0,0343;0,6593;0,6936;0,0466
Costa Rica;14;16_06_26;UPS;11;0,0060;0,7059;0,7119;0,0792
Costa Rica;14;16_06_26;UPS;12;0,0362;0,7851;0,8213;0,1005
Costa Rica;14;16_06_26;UPS;13;0,0400;0,8856;0,9256;0,0516
Costa Rica;14;16_06_26;UPS;14;0,0060;0,9372;0,9432;0,0784
Costa Rica;14;16_06_26;UPS;15;0,0341;1,0156;1,0498;0,0447
Costa Rica;14;16_06_26;UPS;16;0,0060;1,0603;1,0663;0,0722
Costa Rica;14;16_06_26;UPS;17;0,0395;1,1325;1,1720;0,1001
Costa Rica;14;16_06_26;UPS;18;0,0460;1,2326;1,2787;0,1073
Costa Rica;14;16_06_26;UPS;19;0,0491;1,3399;1,3890;0,1198
Costa Rica;14;16_06_26;UPS;20;0,0372;1,4597;1,4969;0,1033
Costa Rica;14;16_06_26;UPS;21;0,0381;1,5630;1,6011;0,1065
Costa Rica;14;16_06_26;UPS;22;0,0377;1,6695;1,7072;0,1139
Costa Rica;14;16_06_26;UPS;23;0,0267;1,7834;1,8101;0,0924
Costa Rica;14;16_06_26;UPS;24;0,0378;1,8758;1,9137;0,0937
Costa Rica;14;16_06_26;UPS;25;0,0468;1,9695;2,0163;0,1019
Costa Rica;14;16_06_26;UPS;26;0,0410;2,0714;2,1125;0,0996
Costa Rica;14;16_06_26;UPS;27;0,0450;2,1710;2,2160;0,1020
Costa Rica;14;16_06_26;UPS;28;0,0430;2,2730;2,3160;0,1058
Costa Rica;14;16_06_26;UPS;29;0,0398;2,3788;2,4186;0,0997
Costa Rica;14;16_06_26;UPS;30;0,0389;2,4785;2,5175;0,0967
Costa Rica;14;16_06_26;UPS;31;0,0440;2,5752;2,6192;0,0918
Costa Rica;14;16_06_26;UPS;32;0,0052;2,6670;2,6722;0,0192
Costa Rica;14;16_06_26;UPS;33;0,0307;2,6862;2,7169;0,0862
Costa Rica;14;16_06_26;UPS;34;0,0426;2,7724;2,8151;0,0880
Costa Rica;14;16_06_26;UPS;35;0,0052;2,8604;2,8656;0,0101
Costa Rica;14;16_06_26;UPS;36;0,0363;2,8705;2,9068;0,0865
Costa Rica;14;16_06_26;UPS;37;0,0419;2,9570;2,9990;0,0924
Costa Rica;14;16_06_26;UPS;38;0,0404;3,0494;3,0899;0,1237
Costa Rica;14;16_06_26;UPS;39;0,0102;3,1731;3,1833;0,0745
Costa Rica;14;16_06_26;UPS;40;0,0133;3,2476;3,2609;0,0880
Costa Rica;14;16_06_26;UPS;41;0,0284;3,3356;3,3640;0,0848
Costa Rica;14;16_06_26;UPS;42;0,0414;3,4204;3,4618;0,1067
Costa Rica;14;16_06_26;UPS;43;0,0270;3,5271;3,5541;0,1014
Costa Rica;14;16_06_26;UPS;44;0,0288;3,6285;3,6573;0,0884
Costa Rica;14;16_06_26;UPS;45;0,0394;3,7169;3,7564;0,0951
Costa Rica;14;16_06_26;UPS;46;0,0313;3,8120;3,8434;0,0930
Costa Rica;14;16_06_26;UPS;47;0,0448;3,9050;3,9498;0,0550
Costa Rica;14;16_06_26;UPS;48;0,0087;3,9600;3,9687;0,0406
Costa Rica;14;16_06_26;UPS;49;0,0368;4,0006;4,0375;0,0485
Costa Rica;14;16_06_26;UPS;50;0,0055;4,0491;4,0546;0,0534
Costa Rica;14;16_06_26;UPS;51;0,0316;4,1025;4,1341;0,0484
Costa Rica;14;16_06_26;UPS;52;0,0055;4,1509;4,1564;0,0573
Costa Rica;14;16_06_26;UPS;53;0,0359;4,2082;4,2442;0,0502
Costa Rica;14;16_06_26;UPS;54;0,0040;4,2584;4,2625;0,0228
Costa Rica;14;16_06_26;UPS;55;0,0028;4,2812;4,2840;0,0160
Costa Rica;14;16_06_26;UPS;56;0,0025;4,2972;4,2997;0,0146
Costa Rica;14;16_06_26;UPS;57;0,0028;4,3118;4,3146;0,0130
Costa Rica;14;16_06_26;UPS;58;0,0033;4,3248;4,3281;0,0126
Costa Rica;14;16_06_26;UPS;59;0,0030;4,3374;4,3404;0,0115
Costa Rica;14;16_06_26;UPS;60;0,0020;4,3489;4,3509;0,0092
Costa Rica;14;16_06_26;UPS;61;0,0025;4,3581;4,3607;0,0106
Costa Rica;14;16_06_26;UPS;62;0,0015;4,3687;4,3703;0,0100
Costa Rica;14;16_06_26;UPS;63;0,0017;4,3787;4,3805;0,0093
Costa Rica;14;16_06_26;UPS;64;0,0017;4,3880;4,3898;0,0095
Costa Rica;14;16_06_26;UPS;65;0,0015;4,3975;4,3991;0,0097
Costa Rica;14;16_06_26;UPS;66;0,0017;4,4072;4,4090;0,0107
Costa Rica;14;16_06_26;UPS;67;0,0010;4,4179;4,4189;0,0100
Costa Rica;14;16_06_26;UPS;68;0,0015;4,4279;4,4294;0,0103
Costa Rica;14;16_06_26;UPS;69;0,0015;4,4382;4,4398;
Costa Rica;19;16_06_23;UPS;1;0,0262;0,0915;0,1177;0,0823
Costa Rica;19;16_06_23;UPS;2;0,0362;0,1738;0,2100;0,1006
Costa Rica;19;16_06_23;UPS;3;0,0605;0,2744;0,3349;0,0708
Costa Rica;19;16_06_23;UPS;4;0,0099;0,3452;0,3552;0,1298
Costa Rica;19;16_06_23;UPS;5;0,0099;0,4750;0,4849;0,1154
Costa Rica;19;16_06_23;UPS;6;0,0083;0,5904;0,5987;0,1028
Costa Rica;19;16_06_23;UPS;7;0,0115;0,6932;0,7047;0,0997
Costa Rica;19;16_06_23;UPS;8;0,0148;0,7929;0,8078;0,0730
Costa Rica;19;16_06_23;UPS;9;0,0403;0,8659;0,9062;0,0893
Costa Rica;19;16_06_23;UPS;10;0,0494;0,9552;1,0046;0,0982
Costa Rica;19;16_06_23;UPS;11;0,0391;1,0534;1,0926;0,0993
Costa Rica;19;16_06_23;UPS;12;0,0290;1,1527;1,1818;0,0739
Costa Rica;19;16_06_23;UPS;13;0,0371;1,2266;1,2637;0,0833
Costa Rica;19;16_06_23;UPS;14;0,0334;1,3099;1,3433;0,0760
Costa Rica;19;16_06_23;UPS;15;0,0387;1,3859;1,4247;0,0818
Costa Rica;19;16_06_23;UPS;16;0,0339;1,4677;1,5016;0,0784
Costa Rica;19;16_06_23;UPS;17;0,0318;1,5461;1,5779;0,0777
Costa Rica;19;16_06_23;UPS;18;0,0334;1,6238;1,6572;0,0734
Costa Rica;19;16_06_23;UPS;19;0,0359;1,6972;1,7332;0,0425
Costa Rica;19;16_06_23;UPS;20;0,0084;1,7397;1,7482;0,0492
Costa Rica;19;16_06_23;UPS;21;0,0446;1,7889;1,8336;0,0559
Costa Rica;19;16_06_23;UPS;22;0,0040;1,8448;1,8489;
Costa Rica;19;16_07_07;UPS;1;0,0129;0,0550;0,0679;0,1112
Costa Rica;19;16_07_07;UPS;2;0,0218;0,1662;0,1881;0,1092
Costa Rica;19;16_07_07;UPS;3;0,0309;0,2754;0,3064;0,1047
Costa Rica;19;16_07_07;UPS;4;0,0394;0,3801;0,4195;0,1541
Costa Rica;19;16_07_07;UPS;5;0,0113;0,5342;0,5456;0,0813
Costa Rica;19;16_07_07;UPS;6;0,0414;0,6155;0,6570;0,1363
Costa Rica;19;16_07_07;UPS;7;0,0168;0,7518;0,7687;0,1610
Costa Rica;19;16_07_07;UPS;8;0,0289;0,9128;0,9418;0,0922
Costa Rica;19;16_07_07;UPS;9;0,0426;1,0050;1,0476;0,1088
Costa Rica;19;16_07_07;UPS;10;0,0409;1,1138;1,1548;0,1023
Costa Rica;19;16_07_07;UPS;11;0,0625;1,2161;1,2787;