IOI;Data;;;
0,0713;S_bil_IC_p23_18;;;
0,0725;S_bil_IC_p23_18;;;
0,0712;S_bil_IC_p23_18;;;
0,0699;S_bil_IC_p23_18;;;
0,0686;S_bil_IC_p23_18;;;
0,0599000000000001;S_bil_IC_p23_18;;;
0,0831999999999999;S_bil_IC_p23_18;;;
0,0818;S_bil_IC_p23_18;;;
0,0932000000000001;S_bil_IC_p23_18;;;
0,1764;S_bil_IC_p23_18;;;
0,0526;S_bil_IC_p23_18;;;
0,0759;S_bil_IC_p23_20;;;
0,0905;S_bil_IC_p23_20;;;
0,0838;S_bil_IC_p23_20;;;
0,0786;S_bil_IC_p23_20;;;
0,0745;S_bil_IC_p23_20;;;
0,0752;S_bil_IC_p23_20;;;
0,0752999999999999;S_bil_IC_p23_20;;;
0,0685;S_bil_IC_p23_20;;;
0,0826;S_bil_IC_p23_20;;;
0,1025;S_bil_IC_p23_20;;;
0,0778000000000001;S_bil_IC_p23_20;;;
0,0666;S_bil_IC_p23_20;;;
0,0952;S_bil_IC_p23_20;;;
0,1045;S_bil_IC_p24_02;;;
0,0985;S_bil_IC_p24_02;;;
0,0932;S_bil_IC_p24_02;;;
0,0759;S_bil_IC_p24_02;;;
0,0885;S_bil_IC_p24_02;;;
0,0646;S_bil_IC_p24_02;;;
0,0819;S_bil_IC_p24_02;;;
0,0645;S_bil_IC_p24_02;;;
0,0892000000000001;S_bil_IC_p24_02;;;
0,0606;S_bil_IC_p24_02;;;
0,0712;S_bil_IC_p24_04;;;
0,0712;S_bil_IC_p24_04;;;
0,0699;S_bil_IC_p24_04;;;
0,0699;S_bil_IC_p24_04;;;
0,0818;S_bil_IC_p24_04;;;
0,0719;S_bil_IC_p24_04;;;
0,0719;S_bil_IC_p24_04;;;
0,0672;S_bil_IC_p24_04;;;
0,0766;S_bil_IC_p24_04;;;
0,0691999999999999;S_bil_IC_p24_04;;;
0,0746;S_bil_IC_p24_04;;;
0,0692;S_bil_IC_p24_04;;;
0,2416;S_bil_IC_p24_04;;;
0,0679000000000001;S_bil_IC_p24_04;;;
0,0851999999999999;S_bil_IC_p24_04;;;
0,0718999999999999;S_bil_IC_p24_04;;;
0,1118;S_bil_IC_p24_06;;;
0,1125;S_bil_IC_p24_06;;;
0,0732;S_bil_IC_p24_06;;;
0,0799;S_bil_IC_p24_06;;;
0,0832000000000001;S_bil_IC_p24_06;;;
0,0859;S_bil_IC_p24_06;;;
0,0639;S_bil_IC_p24_06;;;
0,0912000000000001;S_bil_IC_p24_06;;;
0,0671999999999999;S_bil_IC_p24_06;;;
0,0818000000000001;S_bil_IC_p24_06;;;
0,0692999999999999;S_bil_IC_p24_06;;;
0,0918;S_bil_IC_p24_06;;;
0,0653000000000001;S_bil_IC_p24_06;;;
0,0931;S_bil_IC_p24_06;;;
0,0751999999999999;S_bil_IC_p24_06;;;
0,1019;S_bil_IC_p24_06;;;
0,0691999999999999;S_bil_IC_p24_06;;;
0,0699;S_bil_IC_p24_08;;;
0,0686;S_bil_IC_p24_08;;;
0,0665;S_bil_IC_p24_08;;;
0,0632;S_bil_IC_p24_08;;;
0,0666;S_bil_IC_p24_08;;;
0,0558999999999999;S_bil_IC_p24_08;;;
0,0679000000000001;S_bil_IC_p24_08;;;
0,0752;S_bil_IC_p24_08;;;
0,0646;S_bil_IC_p24_08;;;
0,0705;S_bil_IC_p24_08;;;
0,0612999999999999;S_bil_IC_p24_08;;;
0,0851999999999999;S_bil_IC_p24_08;;;
0,0765;S_bil_IC_p24_08;;;
0,0839;S_bil_IC_p24_10;;;
0,0832;S_bil_IC_p24_10;;;
0,0805;S_bil_IC_p24_10;;;
0,0751999999999999;S_bil_IC_p24_10;;;
0,0859000000000001;S_bil_IC_p24_10;;;
0,0871999999999999;S_bil_IC_p24_10;;;
0,1118;S_bil_IC_p24_10;;;
0,0785;S_bil_IC_p24_10;;;
0,1251;S_bil_IC_p24_12;;;
0,1045;S_bil_IC_p24_12;;;
0,0965;S_bil_IC_p24_12;;;
0,0939;S_bil_IC_p24_12;;;
0,0817999999999999;S_bil_IC_p24_12;;;
0,0819000000000001;S_bil_IC_p24_12;;;
0,0731999999999999;S_bil_IC_p24_12;;;
0,0719000000000001;S_bil_IC_p24_12;;;
0,0666;S_bil_IC_p24_12;;;
0,0679;S_bil_IC_p24_12;;;
0,0659;S_bil_IC_p24_12;;;
0,0685;S_bil_IC_p24_12;;;
0,0633000000000001;S_bil_IC_p24_12;;;
0,0731999999999999;S_bil_IC_p24_12;;;
0,0785;S_bil_IC_p24_12;;;
0,1078;S_bil_IC_p24_12;;;
0,0599000000000001;S_bil_IC_p24_12;;;
0,0699;S_bil_IC_p24_14;;;
0,0639;S_bil_IC_p24_14;;;
0,0712;S_bil_IC_p24_14;;;
0,0706;S_bil_IC_p24_14;;;
0,0845;S_bil_IC_p24_14;;;
0,0586;S_bil_IC_p24_14;;;
0,0679000000000001;S_bil_IC_p24_14;;;
0,0619;S_bil_IC_p24_14;;;
0,0785;S_bil_IC_p24_14;;;
0,0539000000000001;S_bil_IC_p24_14;;;
0,0831999999999999;S_bil_IC_p24_14;;;
0,0619000000000001;S_bil_IC_p24_14;;;
0,0918;S_bil_IC_p24_16;;;
0,0792;S_bil_IC_p24_16;;;
0,0692;S_bil_IC_p24_16;;;
0,0779;S_bil_IC_p24_16;;;
0,0759;S_bil_IC_p24_16;;;
0,0719;S_bil_IC_p24_16;;;
0,0639000000000001;S_bil_IC_p24_16;;;
0,0685;S_bil_IC_p24_16;;;
0,0593;S_bil_IC_p24_16;;;
0,0765;S_bil_IC_p24_16;;;
0,0592999999999999;S_bil_IC_p24_16;;;
0,0858;S_bil_IC_p24_18;;;
0,0786;S_bil_IC_p24_18;;;
0,0705;S_bil_IC_p24_18;;;
0,0712;S_bil_IC_p24_18;;;
0,0686;S_bil_IC_p24_18;;;
0,0705;S_bil_IC_p24_18;;;
0,0673;S_bil_IC_p24_18;;;
0,0659;S_bil_IC_p24_18;;;
0,0672;S_bil_IC_p24_18;;;
0,0631999999999999;S_bil_IC_p24_18;;;
0,0666000000000001;S_bil_IC_p24_18;;;
0,0711999999999999;S_bil_IC_p24_18;;;
0,0839;S_bil_IC_p24_18;;;
0,0705000000000001;S_bil_IC_p24_18;;;
0,0672999999999999;S_bil_IC_p24_18;;;
0,0599000000000001;S_bil_IC_p24_18;;;
0,0797999999999999;S_bil_IC_p24_18;;;
0,0546;S_bil_IC_p24_18;;;
0,0613;S_bil_IC_p24_20;;;
0,0625;S_bil_IC_p24_20;;;
0,0646000000000001;S_bil_IC_p24_20;;;
0,0671999999999999;S_bil_IC_p24_20;;;
0,0639000000000001;S_bil_IC_p24_20;;;
0,0671999999999999;S_bil_IC_p24_20;;;
0,0699000000000001;S_bil_IC_p24_20;;;
0,0691999999999999;S_bil_IC_p24_20;;;
0,0666;S_bil_IC_p24_20;;;
0,0751999999999999;S_bil_IC_p24_20;;;
0,0799000000000001;S_bil_IC_p24_20;;;
0,0805;S_bil_IC_p24_20;;;
0,0846;S_bil_IC_p24_20;;;
0,0698000000000001;S_bil_IC_p24_20;;;
0,0698999999999999;S_bil_IC_p24_20;;;
0,0586;S_bil_IC_p24_20;;;
0,0713;S_bil_IC_p25_02;;;
0,1138;S_bil_IC_p25_02;;;
0,1271;S_bil_IC_p25_02;;;
0,0433;S_bil_IC_p25_02;;;
0,0585;S_bil_IC_p25_02;;;
0,05;S_bil_IC_p25_02;;;
0,0579;S_bil_IC_p25_02;;;
0,0512;S_bil_IC_p25_02;;;
0,0599;S_bil_IC_p25_02;;;
0,0518999999999999;S_bil_IC_p25_02;;;
0,0586000000000001;S_bil_IC_p25_02;;;
0,0512999999999999;S_bil_IC_p25_02;;;
0,0619000000000001;S_bil_IC_p25_02;;;
0,0518999999999999;S_bil_IC_p25_02;;;
0,1005;S_bil_IC_p25_02;;;
0,0531999999999999;S_bil_IC_p25_02;;;
0,0613000000000001;S_bil_IC_p25_02;;;
0,0519000000000001;S_bil_IC_p25_02;;;
0,0651999999999999;S_bil_IC_p25_02;;;
0,0566;S_bil_IC_p25_02;;;
0,0666;S_bil_IC_p25_02;;;
0,0671999999999999;S_bil_IC_p25_02;;;
0,0699;S_bil_IC_p25_04;;;
0,0665;S_bil_IC_p25_04;;;
0,0633;S_bil_IC_p25_04;;;
0,0619;S_bil_IC_p25_04;;;
0,0579;S_bil_IC_p25_04;;;
0,0546;S_bil_IC_p25_04;;;
0,0572;S_bil_IC_p25_04;;;
0,0539;S_bil_IC_p25_04;;;
0,0553;S_bil_IC_p25_04;;;
0,0485;S_bil_IC_p25_04;;;
0,0546;S_bil_IC_p25_04;;;
0,0486;S_bil_IC_p25_04;;;
0,0513;S_bil_IC_p25_04;;;
0,0572;S_bil_IC_p25_04;;;
0,0426;S_bil_IC_p25_04;;;
0,0612;S_bil_IC_p25_04;;;
0,0493;S_bil_IC_p25_04;;;
0,0593;S_bil_IC_p25_06;;;
0,0599;S_bil_IC_p25_06;;;
0,0559;S_bil_IC_p25_06;;;
0,0619;S_bil_IC_p25_06;;;
0,0546;S_bil_IC_p25_06;;;
0,0579;S_bil_IC_p25_06;;;
0,0512;S_bil_IC_p25_06;;;
0,1165;S_bil_IC_p25_06;;;
0,0552;S_bil_IC_p25_06;;;
0,1019;S_bil_IC_p25_06;;;
0,0579;S_bil_IC_p25_06;;;
0,0732;S_bil_IC_p25_08;;;
0,0746;S_bil_IC_p25_08;;;
0,0639;S_bil_IC_p25_08;;;
0,0865;S_bil_IC_p25_08;;;
0,0665;S_bil_IC_p25_08;;;
0,0586;S_bil_IC_p25_08;;;
0,0626;S_bil_IC_p25_08;;;
0,0719;S_bil_IC_p25_08;;;
0,0486;S_bil_IC_p25_08;;;
0,0712;S_bil_IC_p25_08;;;
0,0446;S_bil_IC_p25_08;;;
0,0739;S_bil_IC_p25_08;;;
0,0425000000000001;S_bil_IC_p25_08;;;
0,0792999999999999;S_bil_IC_p25_08;;;
0,0432;S_bil_IC_p25_08;;;
0,0679;S_bil_IC_p25_10;;;
0,0666;S_bil_IC_p25_10;;;
0,0619;S_bil_IC_p25_10;;;
0,0639;S_bil_IC_p25_10;;;
0,0632;S_bil_IC_p25_10;;;
0,0606;S_bil_IC_p25_10;;;
0,0612;S_bil_IC_p25_10;;;
0,0506;S_bil_IC_p25_10;;;
0,0706;S_bil_IC_p25_10;;;
0,0692;S_bil_IC_p25_10;;;
0,0546;S_bil_IC_p25_10;;;
0,0585;S_bil_IC_p25_10;;;
0,0493;S_bil_IC_p25_10;;;
0,0631999999999999;S_bil_IC_p25_10;;;
0,0553;S_bil_IC_p25_10;;;
0,0532;S_bil_IC_p25_10;;;
0,0558999999999999;S_bil_IC_p25_10;;;
0,0606;S_bil_IC_p25_10;;;
0,0726;S_bil_IC_p25_12;;;
0,0712;S_bil_IC_p25_12;;;
0,0639;S_bil_IC_p25_12;;;
0,0639;S_bil_IC_p25_12;;;
0,0626;S_bil_IC_p25_12;;;
0,0599;S_bil_IC_p25_12;;;
0,0585;S_bil_IC_p25_12;;;
0,0606;S_bil_IC_p25_12;;;
0,0619;S_bil_IC_p25_12;;;
0,0759000000000001;S_bil_IC_p25_12;;;
0,0599;S_bil_IC_p25_12;;;
0,0586;S_bil_IC_p25_12;;;
0,0486000000000001;S_bil_IC_p25_12;;;
0,0845;S_bil_IC_p25_14;;;
0,0819;S_bil_IC_p25_14;;;
0,0799;S_bil_IC_p25_14;;;
0,0805;S_bil_IC_p25_14;;;
0,0686;S_bil_IC_p25_14;;;
0,0739;S_bil_IC_p25_14;;;
0,0699000000000001;S_bil_IC_p25_14;;;
0,0698;S_bil_IC_p25_14;;;
0,0659;S_bil_IC_p25_14;;;
0,0686;S_bil_IC_p25_14;;;
0,0792;S_bil_IC_p25_14;;;
0,0666;S_bil_IC_p25_14;;;
0,0612;S_bil_IC_p25_14;;;
0,0626;S_bil_IC_p25_14;;;
0,0651999999999999;S_bil_IC_p25_14;;;
0,0592000000000001;S_bil_IC_p25_14;;;
0,0686;S_bil_IC_p25_14;;;
0,0571999999999999;S_bil_IC_p25_14;;;
0,0553;S_bil_IC_p25_16;;;
0,0612;S_bil_IC_p25_16;;;
0,0619;S_bil_IC_p25_16;;;
0,0613;S_bil_IC_p25_16;;;
0,0605;S_bil_IC_p25_16;;;
0,0539;S_bil_IC_p25_16;;;
0,0586;S_bil_IC_p25_16;;;
0,0619;S_bil_IC_p25_16;;;
0,0613;S_bil_IC_p25_16;;;
0,0505;S_bil_IC_p25_16;;;
0,0579;S_bil_IC_p25_16;;;
0,0526;S_bil_IC_p25_16;;;
0,0546000000000001;S_bil_IC_p25_16;;;
0,0839;S_bil_IC_p25_16;;;
0,0599;S_bil_IC_p25_16;;;
0,0625;S_bil_IC_p25_16;;;
0,0719;S_bil_IC_p25_16;;;
0,0659;S_bil_IC_p25_18;;;
0,0626;S_bil_IC_p25_18;;;
0,0612;S_bil_IC_p25_18;;;
0,0606;S_bil_IC_p25_18;;;
0,0579;S_bil_IC_p25_18;;;
0,0605;S_bil_IC_p25_18;;;
0,0613;S_bil_IC_p25_18;;;
0,0586;S_bil_IC_p25_18;;;
0,0512;S_bil_IC_p25_18;;;
0,0546;S_bil_IC_p25_18;;;
0,0592;S_bil_IC_p25_18;;;
0,042;S_bil_IC_p25_18;;;
0,0565;S_bil_IC_p25_18;;;
0,0466;S_bil_IC_p25_18;;;
0,0905;S_bil_IC_p25_18;;;
0,0426;S_bil_IC_p25_18;;;
0,0639;S_bil_IC_p25_20;;;
0,0599;S_bil_IC_p25_20;;;
0,0619;S_bil_IC_p25_20;;;
0,0606;S_bil_IC_p25_20;;;
0,0619;S_bil_IC_p25_20;;;
0,0625;S_bil_IC_p25_20;;;
0,0686;S_bil_IC_p25_20;;;
0,0892;S_bil_IC_p25_20;;;
0,0639;S_bil_IC_p25_20;;;
0,0626;S_bil_IC_p25_20;;;
0,0539000000000001;S_bil_IC_p25_20;;;